Year,Sex,Life,ratio,cum_sum
1953,M,957524,0.00871465199353248,0.562607407668984
1954,M,911212,0.0082931555473604,0.570900563216344
1955,M,889670,0.00809709671933658,0.578997659935681
1956,M,856084,0.00779142260374806,0.586789082539429
1957,M,805220,0.00732849733085774,0.594117579870286
1958,M,848733,0.00772451941719142,0.601842099287478
1959,M,835822,0.00760701335792973,0.609449112645408
1960,M,824761,0.00750634458544939,0.616955457230857
1961,M,817599,0.00744116153251528,0.624396618763372
1962,M,833269,0.00758377790217145,0.631980396665544
1963,M,852561,0.00775935894897469,0.639739755614518
1964,M,882924,0.00803569978061926,0.647775455395138
1965,M,935366,0.00851298680407228,0.65628844219921
1966,M,705463,0.00642058532142631,0.662709027520636
1967,M,992778,0.00903550697093252,0.671744534491569
1968,M,967996,0.00880996013795108,0.68055449462952
1969,M,977687,0.00889816021697711,0.689452654846497
1970,M,1000403,0.00910490389618001,0.698557558742677
1971,M,1032937,0.0094010035113934,0.70795856225407
1972,M,1051389,0.0095689395198743,0.717527501773945
1973,M,1077517,0.00980673661664369,0.727334238390588
1974,M,1046538,0.00952478942356275,0.736859027814151
1975,M,979091,0.00891093835245875,0.74576996616661
1976,M,943829,0.00859001056516993,0.75435997673178
1977,M,903380,0.00822187466624061,0.76258185139802
1978,M,879149,0.00800134261434918,0.77058319401237
1979,M,845884,0.00769858999554813,0.778281784007918
1980,M,811418,0.00738490679219334,0.785666690800111
1981,M,786596,0.00715899590976798,0.792825686709879
1982,M,777855,0.00707944200503508,0.799905128714914
1983,M,775206,0.00705533283061139,0.806960461545525
1984,M,764597,0.00695877781684736,0.813919239362373
1985,M,735284,0.00669199328310574,0.820611232645479
1986,M,711301,0.00647371833776662,0.827084950983245
1987,M,692304,0.0063008221556123,0.833385773138858
1988,M,674883,0.00614226952154847,0.839528042660406
1989,M,640506,0.00582939632820641,0.845357438988612
1990,M,626971,0.00570621109761954,0.851063650086232
1991,M,628615,0.00572117352976471,0.856784823615997
1992,M,622136,0.00566220662108555,0.862447030237082
1993,M,610244,0.00555397472140775,0.86800100495849
1994,M,635915,0.00578761255328034,0.87378861751177
1995,M,608547,0.00553852992374939,0.87932714743552
1996,M,619793,0.00564088242490786,0.884968029860428
1997,M,610905,0.00555999063846855,0.890528020498896
1998,M,617414,0.00561923058423064,0.896147251083127
1999,M,604769,0.00550414545377102,0.901651396536898
2000,M,612148,0.0055713034749384,0.907222700011836
2001,M,600918,0.0054690965935575,0.912691796605394
2002,M,592840,0.00539557680835759,0.918087373413751
2003,M,576736,0.00524901050223488,0.923336383915986
2004,M,569559,0.0051836909307593,0.928520074846745
2005,M,545032,0.00496046491298285,0.933480539759728
2006,M,560439,0.00510068765754524,0.938581227417274
2007,M,559847,0.00509529972577521,0.943676527143049
2008,M,559513,0.00509225991291846,0.948768787055967
2009,M,548993,0.00499651490916716,0.953765301965134
2010,M,550742,0.00501243297110262,0.958777734936237
2011,M,538271,0.00489893145572406,0.963676666391961
2012,M,531781,0.00483986443344783,0.968516530825409
2013,M,527657,0.00480233093577954,0.973318861761188
2014,M,515533,0.00469198754932699,0.978010849310515
2015,M,515452,0.00469125034920305,0.982702099659718
2016,M,501880,0.00456772837288056,0.987269828032599
2017,M,484449,0.00440908472645575,0.991678912759055
2018,M,470851,0.00428532611799471,0.995964238877049
2019,M,443430,0.00403576112295055,1
